index,Time,Open,High,Low,Close,Daily,Range,ADR,ADR_min,Fractal,Swing_Price,Swing_Type,Hour,Swing_Difference,Time_Difference,Retracement,pip_move,end_index,Swing_Length,Next_Swing,Largest_bar
944,2015-02-17 20:00:00,1.14167,1.14247,1.14068,1.14142,2015-02-17 00:00:00,0.00179,0.0032065,0.00641,U,1.14247,F,20,0.00441,0,0.650442478,0.00441,946,10,F,0.00307
946,2015-02-17 20:30:00,1.13966,1.14016,1.13897,1.13943,2015-02-17 00:00:00,0.00119,0.0032065,0.00641,D,1.13897,F,20,-0.0035,0,0.793650794,0.0035,979,2,F,0.00321
979,2015-02-18 04:45:00,1.14115,1.14155,1.14051,1.14074,2015-02-18 00:00:00,0.00104,0.00297125,0.00594,U,1.14155,F,4,0.00258,0,0.737142857,0.00258,1002,33,T,0.00246
1002,2015-02-18 10:30:00,1.13889,1.13894,1.13775,1.13836,2015-02-18 00:00:00,0.00119,0.00297125,0.00594,D,1.13775,T,10,-0.0038,0,1.472868217,0.0038,1004,23,S,0.00151
1004,2015-02-18 11:00:00,1.14068,1.14114,1.13995,1.14035,2015-02-18 00:00:00,0.00119,0.00297125,0.00594,U,1.14114,S,11,0.00339,0,0.892105263,0.00339,1036,2,T,0.00303
1036,2015-02-18 19:00:00,1.13405,1.1346,1.13333,1.13389,2015-02-18 00:00:00,0.00127,0.00297125,0.00594,D,1.13333,T,19,-0.00781,0,2.303834808,0.00781,1100,32,E,0.00303
1100,2015-02-19 11:00:00,1.14321,1.14495,1.14317,1.14367,2015-02-19 00:00:00,0.00178,0.00275325,0.00551,U,1.14495,E,11,0.01162,1,1.487836108,0.01162,1114,64,S,0.0074
1114,2015-02-19 14:30:00,1.13659,1.13745,1.13547,1.13683,2015-02-19 00:00:00,0.00198,0.00275325,0.00551,D,1.13547,S,14,-0.00948,0,0.815834768,0.00948,1127,14,F,0.00457
1127,2015-02-19 17:45:00,1.13936,1.13959,1.13878,1.13888,2015-02-19 00:00:00,0.00081,0.00275325,0.00551,U,1.13959,F,17,0.00412,0,0.434599156,0.00412,1196,13,T,0.00258
1196,2015-02-20 11:00:00,1.13292,1.13326,1.13031,1.13122,2015-02-20 00:00:00,0.00295,0.00250275,0.00501,D,1.13031,T,11,-0.00928,1,2.252427184,0.00928,1200,69,S,0.00424
1200,2015-02-20 12:00:00,1.13289,1.13474,1.13261,1.1343,2015-02-20 00:00:00,0.00213,0.00250275,0.00501,U,1.13474,S,12,0.00443,0,0.47737069,0.00443,1213,4,T,0.00347
1213,2015-02-20 15:15:00,1.12973,1.13002,1.12784,1.1289,2015-02-20 00:00:00,0.00218,0.00250275,0.00501,D,1.12784,T,15,-0.0069,0,1.557562077,0.0069,1215,13,S,0.0038
1215,2015-02-20 15:45:00,1.12965,1.13159,1.12951,1.13121,2015-02-20 00:00:00,0.00208,0.00250275,0.00501,U,1.13159,S,15,0.00375,0,0.543478261,0.00375,1220,2,F,0.00362
1220,2015-02-20 17:00:00,1.12926,1.13097,1.12855,1.13048,2015-02-20 00:00:00,0.00242,0.00250275,0.00501,D,1.12855,F,17,-0.00304,0,0.810666667,0.00304,1230,5,T,0.00314
1230,2015-02-20 19:30:00,1.13628,1.14288,1.13455,1.13886,2015-02-20 00:00:00,0.00833,0.00250275,0.00501,U,1.14288,T,19,0.01433,0,4.713815789,0.01433,1300,10,S,0.00701
1300,2015-02-23 13:00:00,1.12979,1.13083,1.12945,1.13081,2015-02-23 00:00:00,0.00138,0.002444,0.00489,D,1.12945,S,13,-0.01343,3,0.937194696,0.01343,1320,70,F,0.00701
1320,2015-02-23 18:00:00,1.13539,1.13599,1.13455,1.13456,2015-02-23 00:00:00,0.00144,0.002444,0.00489,U,1.13599,F,18,0.00654,0,0.486969471,0.00654,1327,20,F,0.00256
1327,2015-02-23 19:45:00,1.13292,1.13318,1.13208,1.13318,2015-02-23 00:00:00,0.0011,0.002444,0.00489,D,1.13208,F,19,-0.00391,0,0.597859327,0.00391,1330,7,F,0.00256
